"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"313","19_241_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_241_12","IFN3","19_241",12,12,0,31.83,13.4,7,141.03,16.32,42.1,52.24,0.45,2.08,3.84,4.62,47.94,30.53,17.41,0,0,0,41.74,22.39,1.32,5.31,6.42,35.45,"Nodo 1 - Pies mayores",.,.
"314","19_241_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_241_15","IFN3","19_241",15,15,0,31.83,17.5,10,240.53,8.08,54.98,57.14,0.45,2.68,5.5,6.71,113.64,74.38,39.26,0,0,0,103.92,49.1,3.06,9.87,13.58,75.61,"Nodo 1 - Pies mayores",.,.
"315","19_241_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_241_18","IFN3","19_241",18,18,0,31.83,12.95,8,131.71,16.77,40.68,61.78,0.44,1.99,4.46,5.36,51.13,32.58,18.54,0,0,0,45.51,22.63,1.19,4.91,5.84,34.56,"Nodo 1 - Pies mayores",.,.
"316","19_241_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_241_20","IFN3","19_241",20,20,0,31.83,13.8,8.5,149.57,14.94,43.35,61.59,0.44,2.12,4.73,5.7,61.32,39.31,22.01,0,0,0,53.9,26.87,1.45,5.69,6.98,40.99,"Nodo 1 - Pies mayores",.,.
"317","19_241_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_241_23","IFN3","19_241",23,23,0,31.83,16.2,8.5,206.12,10.24,50.89,52.47,0.46,2.5,4.63,5.62,83.55,54.18,29.37,0,0,0,73.44,37.72,2.4,8.25,10.94,59.31,"Nodo 1 - Pies mayores",.,.
"318","19_241_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_241_24","IFN3","19_241",24,24,0,31.83,18.5,9,268.8,6.38,58.12,48.65,0.46,2.85,4.85,5.92,114.14,74.81,39.32,0,0,57.05,103.92,51.74,3.64,11.23,15.87,82.48,"Nodo 1 - Pies mayores",.,.
"319","19_241_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_241_9","IFN3","19_241",9,9,0,31.83,16.9,10,224.32,8.84,53.09,59.17,0.45,2.58,5.52,6.72,106.25,69.37,36.88,0,0,0,97.15,45.61,2.74,9.11,12.31,69.76,"Nodo 1 - Pies mayores",.,.
"320","19_241_1","IFN2","19_241",44.88,19.18,9.98,288.91,2.69,60.25,52.02,0.48,2.97,5.19,6.48,135.31,89.13,46.17,0,0,62.75,124.62,59.51,4.08,12.21,17.56,93.36,"Nodo 3 - Pies mayores",3.93,2.48,"19_241_2","IFN3","19_241",2,2,1,31.83,19.9,10.5,311.03,3.54,62.52,52.76,0.46,3.04,5.7,6.99,152.72,100.99,51.73,0,0,68.28,142.62,66.41,4.58,13.3,19.47,103.76,"Nodo 1 - Pies mayores",4.65,3
"321","19_241_2","IFN2","19_241",44.89,19.9,11.21,311.17,0,62.53,56.32,0.48,3.06,5.86,7.35,162.88,107.88,55.01,0,0,69.07,150.98,69.18,4.58,13.31,19.48,106.56,"Nodo 3 - Pies mayores",3.95,2.71,"19_241_4","IFN3","19_241",4,4,2,31.83,21.75,11.5,371.54,1.22,68.33,52.87,0.46,3.31,6.26,7.71,198.13,132.13,66,0,0,138.41,184.8,84.78,6.05,16.35,24.98,132.16,"Nodo 1 - Pies mayores",5.8,3
"322","19_241_3","IFN2","19_241",152.95,12.21,7.66,117.17,11.57,38.37,62.72,0.47,1.91,4.03,4.96,43.78,27.76,16.02,0,0,0,37.17,19.46,0.99,4.29,4.95,29.69,"Nodo 3 - Pies mayores",3.51,2.66,"19_241_6","IFN3","19_241",6,6,3,31.83,14.8,8,172.03,13.35,46.5,54.05,0.45,2.29,4.39,5.31,66.15,42.56,23.59,0,0,0,58.88,30.01,1.81,6.69,8.49,47,"Nodo 1 - Pies mayores",6.1,3
