"","Provincia","Estadillo","TREE_ID_IFN2","rumbo","distancia","specie","dbh_1","dbh_2","height","quality","shape","special_param","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","dbh","expan","basal_area"
"76",40,1033,16,255,NA,21,174,173,8,2,2,NA,"IFN2","40_1033","40_1033_16","IFN2_40_1033_16",17.35,31.8309886183791,236.422518641308
"77",40,1033,17,258,NA,21,153,149,7.5,2,2,1,"IFN2","40_1033","40_1033_17","IFN2_40_1033_17",15.1,31.8309886183791,179.078635236252
"78",40,1033,18,270,NA,21,164,155,7.5,2,2,NA,"IFN2","40_1033","40_1033_18","IFN2_40_1033_18",15.95,31.8309886183791,199.807256263719
"79",40,1033,19,270,NA,21,120,117,8,2,2,NA,"IFN2","40_1033","40_1033_19","IFN2_40_1033_19",11.85,127.323954473516,110.287573599678
"80",40,1033,2,35,NA,21,185,192,7.5,2,2,NA,"IFN2","40_1033","40_1033_2","IFN2_40_1033_2",18.85,31.8309886183791,279.06963891379
"81",40,1033,20,275,NA,21,192,194,8.5,2,2,NA,"IFN2","40_1033","40_1033_20","IFN2_40_1033_20",19.3,31.8309886183791,292.552961883916
"82",40,1033,21,283,NA,21,150,173,7.5,2,2,NA,"IFN2","40_1033","40_1033_21","IFN2_40_1033_21",16.15,31.8309886183791,204.849512472731
"83",40,1033,22,327,NA,21,134,133,7,2,2,2,"IFN2","40_1033","40_1033_22","IFN2_40_1033_22",13.35,31.8309886183791,139.975624176102
"84",40,1033,23,327,NA,21,132,122,6.5,2,2,2,"IFN2","40_1033","40_1033_23","IFN2_40_1033_23",12.7,31.8309886183791,126.676869774374
"85",40,1033,24,332,NA,21,186,199,7.5,2,2,NA,"IFN2","40_1033","40_1033_24","IFN2_40_1033_24",19.25,31.8309886183791,291.039106923967
"86",40,1033,25,366,NA,21,84,91,3.5,3,5,2,"IFN2","40_1033","40_1033_25","IFN2_40_1033_25",8.75,127.323954473516,60.1320468851171
"87",40,1033,26,377,NA,21,128,131,8.5,2,2,NA,"IFN2","40_1033","40_1033_26","IFN2_40_1033_26",12.95,31.8309886183791,131.713235497161
"88",40,1033,27,378,NA,21,227,220,9.5,2,2,NA,"IFN2","40_1033","40_1033_27","IFN2_40_1033_27",22.35,31.8309886183791,392.324054075702
"89",40,1033,28,385,NA,21,132,146,8,2,2,2,"IFN2","40_1033","40_1033_28","IFN2_40_1033_28",13.9,31.8309886183791,151.746779150021
"90",40,1033,3,73,NA,21,157,154,8.5,2,2,NA,"IFN2","40_1033","40_1033_3","IFN2_40_1033_3",15.55,31.8309886183791,189.911239404911
"91",40,1033,4,93,NA,21,153,155,9,2,2,NA,"IFN2","40_1033","40_1033_4","IFN2_40_1033_4",15.4,31.8309886183791,186.265028431339
"92",40,1033,5,106,NA,21,193,202,6.5,2,2,NA,"IFN2","40_1033","40_1033_5","IFN2_40_1033_5",19.75,31.8309886183791,306.354371110217
"93",40,1033,6,129,NA,21,133,133,7.5,2,2,NA,"IFN2","40_1033","40_1033_6","IFN2_40_1033_6",13.3,31.8309886183791,138.929081123375
"94",40,1033,7,137,NA,21,141,141,7.5,2,2,NA,"IFN2","40_1033","40_1033_7","IFN2_40_1033_7",14.1,31.8309886183791,156.145008865047
"95",40,1033,8,144,NA,21,260,260,9,2,2,NA,"IFN2","40_1033","40_1033_8","IFN2_40_1033_8",26,14.1471060526129,530.929158456675
"96",40,1033,9,144,NA,21,162,158,7.5,2,2,NA,"IFN2","40_1033","40_1033_9","IFN2_40_1033_9",16,31.8309886183791,201.061929829747
