"","Provincia","Estadillo","Clase","Subclase","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","rumbo","distancia","DRed","specie","dbh_1","dbh_2","height","quality","shape","special_param","Agente","Import","Elemento","Compara","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","IFN3_ID","dbh","expan","basal_area"
"83",40,1022,"A","3C",49,49,33,363,5.5,NA,21,219,223,13.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_33","IFN3_40_1022_33","40_1022_A_3C",22.1,31.8309886183791,383.596316984948
"84",40,1022,"A","3C",50,888,34,373,5.5,NA,21,160,154,NA,6,NA,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_34","IFN3_40_1022_34","40_1022_A_3C",15.7,31.8309886183791,193.592793295837
"85",40,1022,"A","3C",51,50,0,379,12,NA,21,286,284,14,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_0","IFN3_40_1022_0","40_1022_A_3C",28.5,14.1471060526129,637.939658219577
"86",40,1022,"A","3C",52,51,0,385,12.5,NA,21,290,285,14.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_0","IFN3_40_1022_0","40_1022_A_3C",28.75,14.1471060526129,649.180669433203
"87",40,1022,"A","3C",53,52,35,388,6.2,NA,21,311,303,14,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_35","IFN3_40_1022_35","40_1022_A_3C",30.7,14.1471060526129,740.229915020461
"88",40,1022,"A","3C",54,53,0,393,13.5,NA,21,263,279,13.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_0","IFN3_40_1022_0","40_1022_A_3C",27.1,14.1471060526129,576.80426518072
"89",40,1033,"A","3C",1,1,1,13,7.5,NA,21,309,277,13,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_1","IFN3_40_1033_1","40_1033_A_3C",29.3,14.1471060526129,674.256469295075
"90",40,1033,"A","3C",2,2,0,32,13.5,NA,21,284,273,9.5,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_0","IFN3_40_1033_0","40_1033_A_3C",27.85,14.1471060526129,609.172486989737
"91",40,1033,"A","3C",3,3,2,32,5.9,NA,21,235,247,10.5,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_2","IFN3_40_1033_2","40_1033_A_3C",24.1,14.1471060526129,456.167107282872
"92",40,1033,"A","3C",4,4,3,71,5,NA,21,215,225,12,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_3","IFN3_40_1033_3","40_1033_A_3C",22,31.8309886183791,380.132711084365
