"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"799","19_602_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_602_13","IFN3","19_602",13,13,0,31.83,16.15,6.5,204.85,12.42,50.74,40.25,0.46,2.53,3.48,4.21,63.92,41.18,22.74,0,0,0,56.54,31.75,2.38,8.2,10.84,53.16,"Nodo 1 - Pies mayores",.,.
"800","19_602_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_602_5","IFN3","19_602",5,5,0,31.83,17.45,8.5,239.16,10.2,54.82,48.71,0.45,2.69,4.64,5.63,96.43,62.86,33.57,0,0,0,88.18,44.14,3.03,9.81,13.47,70.45,"Nodo 1 - Pies mayores",.,.
"801","19_602_1","IFN2","19_602",158.03,15.13,6.77,179.76,5.53,47.53,44.73,0.52,2.41,3.26,4.16,58.61,37.62,20.99,0,0,0,51.47,28.35,1.93,7.04,9.03,46.35,"Nodo 3 - Pies inventariados",5.88,2.27,9.25,"19_602_8","IFN3","19_602",8,8,1,31.83,16.9,6,224.32,11.7,53.09,35.5,0.47,2.66,3.18,3.85,64.52,41.62,22.9,0,0,0,54.3,33.26,2.74,9.11,12.31,57.42,"Nodo 1 - Pies mayores",7.65,1.5
"802","19_602_2","IFN2","19_602",58.57,19.14,9.01,287.59,3.85,60.12,47.09,0.51,3,4.45,5.7,121.97,80.14,41.83,0,0,60.97,110.28,55.62,4.05,12.15,17.44,89.26,"Nodo 3 - Pies inventariados",6.09,2.51,13.05,"19_602_18","IFN3","19_602",18,18,2,31.83,20.05,8,315.73,4.62,62.99,39.9,0.47,3.12,4.22,5.16,118.82,78.11,40.71,0,0,64.6,105.76,57.03,4.69,13.54,19.88,95.14,"Nodo 1 - Pies mayores",7,1.5
"803","19_602_3","IFN2","19_602",58.6,20.89,8.11,342.76,0,65.63,38.84,0.52,3.31,3.87,4.99,130.39,85.99,44.39,0,0,70.27,120.01,62.75,5.33,14.89,22.31,105.28,"Nodo 3 - Pies inventariados",6.19,2.11,14.7,"19_602_19","IFN3","19_602",19,19,3,31.83,21.9,8.5,376.68,1.16,68.8,38.81,0.48,3.41,4.44,5.46,149.46,99.01,50.45,0,0,77.96,136.67,71.36,6.18,16.61,25.47,119.63,"Nodo 1 - Pies mayores",7.2,2.5
"804","19_602_4","IFN2","19_602",58.59,19.98,8.9,313.65,2.01,62.78,44.54,0.51,3.14,4.35,5.59,131.03,86.33,44.7,0,0,66,119.31,60.5,4.64,13.43,19.7,98.27,"Nodo 3 - Pies inventariados",6.13,2.4,13.85,"19_602_21","IFN3","19_602",21,21,4,31.83,20.7,8.5,336.54,3.55,65.03,41.06,0.47,3.21,4.49,5.51,134.07,88.46,45.61,0,0,69.93,122.59,63.34,5.18,14.58,21.75,104.85,"Nodo 1 - Pies mayores",6.85,2
"805","19_602_5","IFN2","19_602",158.03,15.1,8.28,179.12,8.37,47.44,54.81,0.5,2.37,4.14,5.26,71.1,45.85,25.26,0,0,0,62.87,31.99,1.92,7.01,8.98,49.91,"Nodo 3 - Pies inventariados",5.85,2.78,9.25,"19_602_22","IFN3","19_602",22,22,5,31.83,14.45,7.5,163.99,13.6,45.4,51.9,0.45,2.24,4.1,4.95,59.31,38.03,21.27,0,0,0,50.79,27.41,1.68,6.33,7.94,43.36,"Nodo 1 - Pies mayores",5.2,2
"806","19_603_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_603_14","IFN3","19_603",14,14,0,31.83,22.05,10,381.86,7.66,69.27,45.35,0.45,3.37,5.49,6.69,177.49,118.09,59.4,0,0,82.05,162.29,80.05,6.32,16.88,25.96,129.2,"Nodo 1 - Pies mayores",.,.
"807","19_603_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_603_16","IFN3","19_603",16,16,0,14.15,27.3,10,585.35,3.08,85.77,36.63,0.46,4.19,5.37,6.6,267.98,181.01,86.97,0,0,189.08,249.17,125.76,12.36,27.7,47.25,213.06,"Nodo 1 - Pies mayores",.,.
"808","19_603_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_603_18","IFN3","19_603",18,18,0,31.83,18,8,254.47,13.11,56.55,44.44,0.45,2.78,4.38,5.3,96.5,62.95,33.55,0,0,0,85.89,45.4,3.34,10.54,14.69,73.97,"Nodo 1 - Pies mayores",.,.
