"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","n_descorches","w_descorchado","v_descorchado","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"986","19_616_18","IFN2","19_616",31.73,24.17,10.72,458.76,17.83,75.93,44.35,0.37,3.57,6.7,7.81,226.71,152.07,74.64,0,0,165.11,211.19,101.45,8.43,20.88,33.57,164.33,0,0,0,"Nodo 3 - Pies inventariados",5.27,2.22,18.9,"19_616_26","IFN3","19_616",26,26,18,14.15,24.4,10.5,467.59,20.03,76.65,43.03,0.37,3.6,6.61,7.68,226.31,151.83,74.48,0,0,166.82,211.33,102.2,8.68,21.35,34.48,166.72,"Nodo 1 - Pies mayores",5.5,2
"987","19_616_19","IFN2","19_616",31.54,19.79,9.18,307.69,26.78,62.18,46.4,0.36,2.94,5.84,6.73,132.61,87.38,45.23,0,0,65.43,119.53,60.44,4.5,13.14,19.18,97.25,0,0,0,"Nodo 3 - Pies inventariados",5.04,2.18,14.75,"19_616_27","IFN3","19_616",27,27,19,31.83,18.55,10.5,270.26,28.71,58.28,56.6,0.35,2.72,6.82,7.85,133.37,87.75,45.61,0,0,59.62,121.68,57.24,3.67,11.3,15.99,88.2,"Nodo 1 - Pies mayores",3.8,3.5
"988","19_616_2","IFN2","19_616",31.69,22.92,9.62,412.44,20.64,71.99,41.96,0.38,3.41,6,6.97,183.99,122.63,61.36,0,0,87.84,170.6,84.76,7.13,18.45,28.92,139.27,0,0,0,"Nodo 3 - Pies inventariados",5.22,2.12,17.7,"19_616_2","IFN3","19_616",2,2,2,14.15,25.2,11,498.76,17.24,79.17,43.65,0.37,3.72,6.89,8.04,252.03,169.66,82.37,0,0,176.85,232.62,112.61,9.61,23.01,37.75,182.98,"Nodo 1 - Pies mayores",7.5,3.5
"989","19_616_20","IFN2","19_616",14.13,28.44,11.76,635.34,1.81,89.35,41.34,0.41,4.23,6.99,8.32,339.66,230.98,108.68,0,0,213.31,319.2,151.57,14.05,30.46,53,249.08,0,0,0,"Nodo 3 - Pies inventariados",5.49,2.26,22.95,"19_616_28","IFN3","19_616",28,28,20,14.15,30.7,11.5,740.23,2.23,96.45,37.46,0.41,4.58,6.83,8.13,385.21,263.24,121.97,0,160.55,214.45,359.3,175.73,17.87,36.37,65.66,295.63,"Nodo 1 - Pies mayores",7.75,2
"990","19_616_21","IFN2","19_616",14.13,28.62,10.62,643.33,0,89.91,37.12,0.42,4.31,6.18,7.38,311.41,211.36,100.05,0,0,208.02,290.82,144.26,14.33,30.91,53.94,243.44,0,0,0,"Nodo 3 - Pies inventariados",5.52,2.12,23.1,"19_616_30","IFN3","19_616",30,30,21,14.15,30.6,11,735.42,3.27,96.13,35.95,0.41,4.58,6.53,7.75,366.53,250.16,116.38,0,158.11,212.59,342.82,169.8,17.68,36.1,65.06,288.64,"Nodo 1 - Pies mayores",7.5,2.5
"991","19_616_22","IFN2","19_616",31.77,26.55,11.81,553.8,8.24,83.42,44.47,0.39,3.93,7.21,8.5,298.78,202.21,96.56,0,0,195.13,278.78,131.43,11.33,25.98,43.72,212.45,0,0,0,"Nodo 3 - Pies inventariados",5.4,2.31,21.15,"19_616_32","IFN3","19_616",32,32,22,14.15,27,11,572.56,12.53,84.82,40.74,0.38,4,6.77,7.94,287.91,194.76,93.15,0,0,194.08,265.74,130.3,11.94,27,45.81,215.05,"Nodo 1 - Pies mayores",5.85,1.5
"992","19_616_23","IFN2","19_616",31.78,27,11.24,572.43,4.62,84.81,41.65,0.4,4.02,6.72,7.97,294.07,199.03,95.04,0,0,195.87,274.74,132.05,11.93,26.99,45.79,216.77,0,0,0,"Nodo 3 - Pies inventariados",5.45,2.24,21.55,"19_616_37","IFN3","19_616",37,37,23,14.15,29.05,12,662.8,6.34,91.26,41.31,0.39,4.3,7.29,8.62,360.96,245.95,115.01,0,0,222.78,337.46,160.52,15.02,32,56.24,263.78,"Nodo 1 - Pies mayores",7.5,3
"993","19_616_24","IFN2","19_616",31.77,26.42,9.51,548.19,10,83,35.99,0.4,3.97,5.69,6.7,239.49,161.2,78.29,0,0,176.79,222.01,113.74,11.15,25.67,43.1,193.65,0,0,0,"Nodo 3 - Pies inventariados",5.42,2.01,21,"19_616_38","IFN3","19_616",38,38,24,14.15,28.6,11.5,642.42,7.27,89.85,40.21,0.39,4.24,6.97,8.24,335.99,228.46,107.54,0,0,213.74,313.39,151.28,14.3,30.86,53.83,250.27,"Nodo 1 - Pies mayores",7.6,4
"994","19_616_3","IFN2","19_616",31.78,27.74,10.65,604.15,2.7,87.13,38.39,0.41,4.16,6.27,7.45,293.73,198.92,94.8,0,0,199.16,272.18,135.17,12.99,28.74,49.39,226.28,0,0,0,"Nodo 3 - Pies inventariados",5.49,2.15,22.25,"19_616_3","IFN3","19_616",3,3,3,14.15,31.75,13,791.73,0,99.75,40.94,0.4,4.69,7.79,9.29,463.29,318.28,145.01,0,175.66,222.18,432.59,203.54,19.86,39.32,72.16,334.87,"Nodo 1 - Pies mayores",9.5,4.5
"995","19_616_4","IFN2","19_616",31.67,22.32,9.63,391.2,23.21,70.11,43.15,0.37,3.31,6.07,7.03,175.1,116.49,58.61,0,0,83.35,161.18,80.23,6.56,17.36,26.85,131,0,0,0,"Nodo 3 - Pies inventariados",5.17,2.13,17.15,"19_616_5","IFN3","19_616",5,5,4,14.15,23.85,10.5,446.75,21.34,74.93,44.03,0.37,3.52,6.64,7.71,216.57,145.06,71.51,0,0,159.64,202.24,97.39,8.08,20.25,32.35,158.07,"Nodo 1 - Pies mayores",6.7,3
